Series,InstanceType,CPU,Memory,Price
ecs.c8i.3xlarge,12,24.0,,c8i,c
ecs.c8a.16xlarge,64,128.0,,c8a,c
ecs.c6.large,2,4.0,0.6063,c6,c
ecs.c8a.48xlarge,192,384.0,,c8a,c
ecs.c7nex.large,2,4.0,,c7nex,c
ecs.c6.xlarge,4,8.0,1.2026,c6,c
ecs.c7.large,2,4.0,,c7,c
ecs.c6e.large,2,4.0,,c6e,c
ecs.c7a.8xlarge,32,64.0,,c7a,c
ecs.c8i.2xlarge,8,16.0,,c8i,c
ecs.c7nex.xlarge,4,8.0,,c7nex,c
ecs.c8a.8xlarge,32,64.0,,c8a,c
ecs.c8a.large,2,4.0,,c8a,c
ecs.c7.4xlarge,16,32.0,,c7,c
ecs.c8i.xlarge,4,8.0,,c8i,c
ecs.c8a.xlarge,4,8.0,,c8a,c
ecs.c8y.xlarge,4,8.0,,c8y,c
ecs.c6.6xlarge,24,48.0,7.1656,c6,c
ecs.c6e.2xlarge,8,16.0,,c6e,c
ecs.c8y.8xlarge,32,64.0,,c8y,c
ecs.c7.6xlarge,24,48.0,,c7,c
ecs.c8i.24xlarge,96,192.0,,c8i,c
ecs.c8y.16xlarge,64,128.0,,c8y,c
ecs.c6.2xlarge,8,16.0,2.3952,c6,c
ecs.c7.3xlarge,12,24.0,,c7,c
ecs.c8a.2xlarge,8,16.0,,c8a,c
ecs.c7a.16xlarge,64,128.0,,c7a,c
ecs.c8y.4xlarge,16,32.0,,c8y,c
ecs.c7.2xlarge,8,16.0,,c7,c
ecs.c6.3xlarge,12,24.0,3.5878,c6,c
ecs.c8a.24xlarge,96,192.0,,c8a,c
ecs.c7a.4xlarge,16,32.0,,c7a,c
ecs.c8a.4xlarge,16,32.0,,c8a,c
ecs.c8a.32xlarge,128,256.0,,c8a,c
ecs.c7.xlarge,4,8.0,,c7,c
ecs.c7.8xlarge,32,64.0,,c7,c
ecs.c7nex.2xlarge,8,16.0,,c7nex,c
ecs.c8y.large,2,4.0,,c8y,c
ecs.c8i.48xlarge,192,512.0,,c8i,c
ecs.c8y.2xlarge,8,16.0,,c8y,c
ecs.c8i.large,2,4.0,,c8i,c
ecs.c6e.xlarge,4,8.0,,c6e,c
ecs.c7a.large,2,4.0,,c7a,c
ecs.c7a.2xlarge,8,16.0,,c7a,c
ecs.c7.16xlarge,64,128.0,,c7,c
ecs.c8i.8xlarge,32,64.0,,c8i,c
ecs.c8i.6xlarge,24,48.0,,c8i,c
ecs.c8i.12xlarge,48,96.0,,c8i,c
ecs.c8y.small,1,2.0,,c8y,c
ecs.c7a.xlarge,4,8.0,,c7a,c
ecs.c8i.4xlarge,16,32.0,,c8i,c
ecs.c6.4xlarge,16,32.0,4.7804,c6,c
ecs.c8a.12xlarge,48,96.0,,c8a,c
ecs.c7.32xlarge,128,256.0,,c7,c
ecs.c8i.16xlarge,64,128.0,,c8i,c
ecs.c7a.32xlarge,128,256.0,,c7a,c
ecs.c6.6xlarge,24,48.0,7.1656,c6,c
ecs.ce4.2xlarge,8,64.0,5.29,ce4,c
ecs.c6e.2xlarge,8,16.0,,c6e,c
ecs.cm4.2xlarge,8,32.0,4.12,cm4,c
ecs.c8i.3xlarge,12,24.0,,c8i,c
ecs.cm4.xlarge,4,16.0,2.03,cm4,c
ecs.c8a.16xlarge,64,128.0,,c8a,c
ecs.c7.6xlarge,24,48.0,,c7,c
ecs.c6e.26xlarge,104,192.0,,c6e,c
ecs.c8i.24xlarge,96,192.0,,c8i,c
ecs.c6.26xlarge,104,192.0,31.0176,c6,c
ecs.c6.2xlarge,8,16.0,2.3952,c6,c
ecs.c7.3xlarge,12,24.0,,c7,c
ecs.c6.large,2,4.0,0.6063,c6,c
ecs.cm4.6xlarge,24,96.0,12.34,cm4,c
ecs.c8a.2xlarge,8,16.0,,c8a,c
ecs.c7a.16xlarge,64,128.0,,c7a,c
ecs.c7.2xlarge,8,16.0,,c7,c
ecs.c6.3xlarge,12,24.0,3.5878,c6,c
ecs.c8a.24xlarge,96,192.0,,c8a,c
ecs.c7a.4xlarge,16,32.0,,c7a,c
ecs.c7nex.large,2,4.0,,c7nex,c
ecs.c8a.4xlarge,16,32.0,,c8a,c
ecs.c6e.13xlarge,52,96.0,,c6e,c
ecs.c8a.32xlarge,128,256.0,,c8a,c
ecs.c7.xlarge,4,8.0,,c7,c
ecs.c6.xlarge,4,8.0,1.2026,c6,c
ecs.c7.8xlarge,32,64.0,,c7,c
ecs.c7.large,2,4.0,,c7,c
ecs.c6e.large,2,4.0,,c6e,c
ecs.c7nex.2xlarge,8,16.0,,c7nex,c
ecs.c8i.48xlarge,192,512.0,,c8i,c
